Code Culture;Libellé Culture;Code Groupe Culture;Libellé Groupe Culture
BTH;Blé tendre d'hiver;1;Blé tendre
BTP;Blé tendre de printemps;1;Blé tendre
MID;Maïs doux;2;Maïs grain et ensilage
MIE;Maïs ensilage;2;Maïs grain et ensilage
MIS;Maïs;2;Maïs grain et ensilage
ORH;Orge d'hiver;3;Orge
ORP;Orge de printemps;3;Orge
AVH;Avoine d'hiver;4;Autres céréales
AVP;Avoine de printemps;4;Autres céréales
BDH;Blé dur d'hiver;4;Autres céréales
BDP;Blé dur de printemps;4;Autres céréales
BDT;Blé dur de printemps semé tardivement (après le 31/05);4;Autres céréales
CAG;Autre céréale d'un autre genre;4;Autres céréales
CGF;Autre céréale de genre Fagopyrum;4;Autres céréales
CGH;Autre céréale de genre Phalaris;4;Autres céréales
CGO;Autre céréale de genre Sorghum;4;Autres céréales
CGP;Autre céréale de genre Panicum;4;Autres céréales
CGS;Autre céréale de genre Setaria;4;Autres céréales
CHA;Autre céréale d'hiver de genre Avena;4;Autres céréales
CHH;Autre céréale d'hiver de genre Hordeum;4;Autres céréales
CHS;Autre céréale d'hiver de genre Secale;4;Autres céréales
CHT;Autre céréale d'hiver de genre Triticum;4;Autres céréales
CPA;Autre céréale de printemps de genre Avena;4;Autres céréales
CPH;Autre céréale de printemps de genre Hordeum;4;Autres céréales
CPS;Autre céréale de printemps de genre Secale;4;Autres céréales
CPT;Autre céréale de printemps de genre Triticum;4;Autres céréales
CPZ;Autre céréale de printemps de genre Zea;4;Autres céréales
EPE;Épeautre;4;Autres céréales
MCR;Mélange de céréales;4;Autres céréales
MLT;Millet;4;Autres céréales
SGH;Seigle d'hiver;4;Autres céréales
SGP;Seigle de printemps;4;Autres céréales
SOG;Sorgho;4;Autres céréales
SRS;Sarrasin;4;Autres céréales
TTH;Triticale d'hiver;4;Autres céréales
TTP;Triticale de printemps;4;Autres céréales
CZH;Colza d'hiver;5;Colza
CZP;Colza de printemps;5;Colza
TRN;Tournesol;6;Tournesol
ARA;Arachide ;7;Autres oléagineux
LIH;Lin non textile d'hiver;7;Autres oléagineux
LIP;Lin non textile de printemps;7;Autres oléagineux
MOL;Mélange d'oléagineux;7;Autres oléagineux
NVE;Navette d'été;7;Autres oléagineux
NVH;Navette d'hiver;7;Autres oléagineux
OAG;Autre oléagineux d'un autre genre;7;Autres oléagineux
OEH;Autre oléagineux d'espèce Helianthus;7;Autres oléagineux
OEI;illette;7;Autres oléagineux
OHN;Autre oléagineux d'hiver d'espèce Brassica napus;7;Autres oléagineux
OHR;Autre oléagineux d'hiver d'espèce Brassica rapa;7;Autres oléagineux
OPN;Autre oléagineux de printemps d'espèce Brassica napus;7;Autres oléagineux
OPR;Autre oléagineux de printemps d'espèce Brassica rapa;7;Autres oléagineux
SOJ;Soja;7;Autres oléagineux
FEV;Fève;8;Protéagineux
FVL;Féverole semée avant le 31/05;8;Protéagineux
FVT;Féverole semée tardivement (après le 31/05);8;Protéagineux
LDH;Lupin doux d'hiver;8;Protéagineux
LDP;Lupin doux de printemps semé avant le 31/05;8;Protéagineux
LDT;Lupin doux de printemps semé tardivement (après le 31/05);8;Protéagineux
MPC;Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés avant le 31/05 et de céréales;8;Protéagineux
MPT;Mélange de protéagineux semés tardivement (après le 31/05);8;Protéagineux
PAG;Autre protéagineux d'un autre genre;8;Protéagineux
PHI;Pois d'hiver;8;Protéagineux
PPR;Pois de printemps semé avant le 31/05;8;Protéagineux
PPT;Pois de printemps semé tardivement (après le 31/05);8;Protéagineux
CHV;Chanvre;9;Plantes à fibres
LIF;Lin fibres;9;Plantes à fibres
J5M;Jachère de 5 ans ou moins;11;Gel (surfaces gelées sans production)
J6P;Jachère de 6 ans ou plus;11;Gel (surfaces gelées sans production)
J6S;Jachère de 6 ans ou plus déclarée comme Surface d'intérêt écologique;11;Gel (surfaces gelées sans production)
JNO;Jachère noire;11;Gel (surfaces gelées sans production)
RIZ;Riz;14;Riz
LEC;Lentille cultivée (non fourragère);15;Légumineuses à grains
PCH;Pois chiche;15;Légumineuses à grains
BVF;Betterave fourragère;16;Fourrage
CAF;Carotte fourragère;16;Fourrage
CHF;Chou fourrager;16;Fourrage
CPL;Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses fourragères (en proportion < 50%);16;Fourrage
DTY;Dactyle de 5 ans ou moins;16;Fourrage
FAG;Autre fourrage annuel d'un autre genre;16;Fourrage
FET;Fétuque de 5 ans ou moins;16;Fourrage
FF5;Féverole fourragère implantée pour la récolte 2015;16;Fourrage
FF6;Féverole fourragère implantée pour la récolte 2016;16;Fourrage
FF7;Féverole fourragère implantée pour larécolte 2017;16;Fourrage
FFO;Autre féverole fourragère;16;Fourrage
FLO;Fléole de 5 ans ou moins;16;Fourrage
FSG;Autre plante fourragère sarclée d'un autre genre;16;Fourrage
GAI;Gaillet;16;Fourrage
GES;Gesse;16;Fourrage
